Event Name,Event Date,Event Location,Event Type,Event Region,Longitude,Latitude,Weather Forecast
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,-122.39177949359151,47.6683615,Not available
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,-122.32405377084555,47.60719095,Not available
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,-80.6740045,28.1110963,Not available
Genre Box,Now through 1/28/2024,Market Theatre,Theatre,Downtown,-1.1450568781476997,52.9516629,Not available
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,-122.337685,47.6086439,Not available
Alice in Shadowland,Now through 1/28/2024,12th Avenue Arts,Theatre,Capitol Hill / Central District,-122.31667,47.6157219,Not available
Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,-122.339691,47.6148163,Not available
Tacoma Home + Garden Show,Now through 1/28/2024,Tacoma Dome,Festivals & Special Events,South,-122.42695224187412,47.236887249999995,Not available
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,-122.332319,47.6615049,Not available
Black and Boujee Panel Discussion,1/28/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,-122.51453295865404,47.6251322,Not available
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,Not available
Django’s Birthday Concert with Ranger and the Re-Arrangers,1/28/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,Not available
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,-122.39177949359151,47.6683615,Not available
Fossil Finders | Ice Ages,1/28/2024,Burke Museum,Museums,University District,-122.31156049949824,47.6605211,Not available
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,Not available
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,-122.24000381780328,47.38765995,Not available
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,-122.38280295082915,47.6657081,Not available
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,-122.3490734,47.6146474,Not available
Walla Walla Wine On Tour,1/29/2024,Marion Oliver McCaw Hall,Festivals & Special Events,Queen Anne / Seattle Center,-122.35038850536958,47.62397705,Not available
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,Not available
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,Not available
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,-122.24000381780328,47.38765995,Not available
